filename,Food_Description,clean_description,manual_fix,manual_description,database_used,GTIN/UPC,Full_Ingredient_List,token_removed
0ec775544a3bbab5cf27d094c06d.jpeg,"Cookie, molasses, sugars, granulated, molasses, margarine, regular, 80% fat, composite, stick, without salt, vinegar, distilled, salt, table, milk, fluid, 1% fat, without added vitamin a and vitamin d, leavening agents, baking soda, wheat flour, white, all-purpose, unenriched","{'cookie', 'salt', 'agent', 'margarine', 'milk', 'flour', 'wheat', 'molasses', 'sugar', 'soda', 'stick', 'vinegar'}",Y,NA,NA,NA,"{'salt', 'butter', 'milk', 'flour', 'molasses', 'sugar', 'vinegar'}",baking soda'
cf0e600d465ba9f159958ea00014.jpeg,"Rice, brown, cooked, fat not added in cooking, Soybean curd, Brussels sprouts, cooked, from fresh, made with oil, Cheese, Mozzarella, whole milk, Avocado, raw, Black, brown, or Bayo beans, dry, cooked, fat not added in cooking, Soy sauce","{'cheese', 'avocado', 'bean', 'soybean', 'milk', 'oil', 'soy', 'mozzarella', 'rice', 'sprout'}",Y,NA,NA,NA,"{'cheese', 'avocado', 'bean', 'tofu', 'milk', 'oil', 'rice'}",brussel sprout'
ce08105a44ddbb1596fbaf03a160.jpeg,"Burrito with chicken, beans, rice, and sour cream, Lettuce, raw, Tomatoes, raw","{'bean', 'burrito', 'tomato', 'chicken', 'lettuce', 'cream', 'rice'}",Y,NA,NA,NA,"{'bean' 'flour', 'tomato', 'chicken', 'lettuce', 'cream', 'rice'}",burrito'
e731e7c149c19f6ed48052d95fd1.jpeg,"Tortilla, corn, Chicken, NS as to part and cooking method, NS as to skin eaten, Cheese, Cheddar, Enchilada sauce, red","{'cheese', 'enchilada', 'chicken', 'tortilla', 'corn', 'cheddar'}",Y,NA,NA,NA,"{'cheese', 'chicken', 'flour', 'corn'}",enchilada'
e6d0528f45d882ea6ab222767ed1.jpeg,"Mixed salad greens, raw, Spinach, raw, Rice, brown, cooked, fat not added in cooking, Rice, white, cooked, fat not added in cooking, Carrots, cooked, from fresh, fat not added in cooking, Onions, cooked, from fresh, fat not added in cooking, Tofu, Chickpeas, canned, drained, fat not added in cooking, Hot pepper sauce, Mushrooms, cooked, from fresh, fat not added in cooking, Garlic, cooked","{'salad', 'carrot', 'tofu', 'mushroom', 'pepper', 'garlic', 'green', 'onion', 'chickpea', 'rice', 'spinach'}",Y,NA,NA,NA,"{'carrot', 'tofu', 'mushroom', 'pepper', 'garlic', 'onion', 'chickpea', 'rice', 'spinach'}",green'
903282c5488bb1bc77361849bad4.jpeg,"Oatmeal, regular or quick, made with water, fat not added in cooking, Walnuts, Cereal, granola, Mixed seeds, Almond milk, unsweetened","{'granola', 'walnut', 'seed', 'oatmeal', 'milk', 'cereal', 'almond'}",Y,NA,NA,NA,"{'granola', 'walnut', 'oatmeal', 'milk', 'cereal'}",mixed seed'
584d343042869e6b5109c8784f73.jpeg,Breakfast tart,set(),Y,"{'flour','water','shortening','sugar','water','salt','whey powder','egg','condensed milk','butter'}",Branded Foods,7.71E+11,"{'flour', 'water', 'oil', 'sugar', 'margarine', 'salt', 'coconut', 'cornstarch', 'egg', 'butter'}",NA
6087c87140768f8e3cd7d319be3e.jpeg,"Nutritional powder mix, protein, NFS, Water, tap",set(),Y,"{'whey', 'water'}",NA,NA,"{'whey', 'water'}",NA
d4a512674372b26971a3be6d1b7e.jpeg,"Soft drink, NFS",set(),Y,"{'sugar', 'water'}",NA,NA,"{'sugar', 'water'}",NA
4ea0532945328d74106d3b68ab8e.jpeg,"Carbonated water, unsweetened",set(),Y,{'water'},NA,NA,{'water'},NA
7b83ee514e119cbf12562497232d.jpeg,"Soft drink, fruit flavored, caffeine containing",set(),Y,"{'sugar', 'water'}",NA,NA,"{'sugar', 'water'}",NA
3e86931e4fe296985049761542e0.jpeg,"Carbonated water, sweetened",set(),Y,"{'sugar', 'water'}",NA,NA,"{'sugar', 'water'}",NA
a81b8a5149af8469f7449650bc08.jpeg,Fruit flavored drink,set(),Y,"{'sugar', 'water'}",NA,NA,"{'sugar', 'water'}",NA
a1b1da9043cc9d8b98f8ad876840.jpeg,"Fruit, NS as to type",set(),Y,{'dragonfruit'},NA,NA,{'dragonfruit'},NA
b12bcc334b3fb097fa3e6ee437cd.jpeg,"Nutritional powder mix, whey based, NFS, Water, tap",set(),Y,"{'whey', 'water'}",NA,NA,"{'whey', 'water'}",NA
78e276e64ea597e23c6ffaa69ba9.jpeg,"Fruit, NS as to type",set(),Y,{'grapefruit'},NA,NA,{'grapefruit'},NA
495feb0f4c6baeef95a7477d226d.jpeg,"Topping, fruit",set(),Y,{'apple'},NA,NA,{'applesauce'},NA
aec094e0458ea8e4ec110e45b886.jpeg,"Nutritional powder mix, protein, NFS, Water, tap",set(),Y,"{'whey', 'water'}",NA,NA,"{'whey', 'water'}",NA
cdfd7780405cb691102b021aff91.jpeg,Pho,set(),Y,"{'broth', 'noodle', 'beef'}",NA,NA,"{'broth', 'noodle', 'beef'}",NA
f5d6439f4162baee33af2418085f.jpeg,"Muffin, English, whole wheat, Butter, whipped, tub, salted","{'wheat', 'muffin', 'butter'}",Y,"{'wheat flour', 'cornmeal', 'canola oil', 'yeast', 'buttermilk', 'sea salt', 'water'}",Branded Foods,8.60E+11,"{'flour', 'sugar', 'egg', 'cranberry', 'orange', 'butter', 'salt'}",NA
cddcc90c469a8da7efcf8b8bd0fe.jpeg,"Bread, whole wheat, Butter replacement, fat-free powder","{'wheat', 'butter', 'bread'}",Y,"{'wheat flour','water','sugar','wheat gluten',wheat bran','yeast','soybean oil','salt','vinegar','cornstarch','ascrobic acid'}",Branded Foods,30034096113,"{'flour', 'water', 'sugar', 'yeast', 'oil', 'salt', 'cornstarch'}",NA
efcc56a14a2686b0d270e379c13f.jpeg,"Bread, whole wheat, toasted, Butter, stick, salted","{'wheat', 'butter', 'bread', 'stick'}",Y,"{'whole wheat flour', 'water', 'sugar,' 'gluten', 'wheat bran', 'yeast', 'salt', 'vinegar','cornstarch'}'",Branded Foods,30034096113,"{'flour', 'water', 'sugar', 'yeast', 'oil', 'salt', 'cornstarch'}",NA
ade55fdc4c5fa17059b1e880431e.jpeg,"Bread, whole wheat","{'wheat', 'bread'}",Y,"{'whole wheat flour', 'water', 'sugar,' 'gluten', 'wheat bran', 'yeast', 'salt', 'vinegar','cornstarch'}'",Branded Foods,30034096113,"{'flour', 'water', 'sugar', 'yeast', 'oil', 'salt', 'cornstarch'}",NA
cc8b16bb4b708456b6e2cedcf160.jpeg,"Bread, wheat or cracked wheat","{'wheat', 'bread'}",Y,"{'wheat flour', 'water', 'sugar', 'yeast', 'soybean oil', 'wheat bran', 'wheat gluten','salt','molasses','datem','citric acid','grain vinegar'}",Branded Foods,78700015259,"{'flour', 'water', 'sugar', 'yeast', 'oil', 'salt', 'molasses', 'vinegar'}",NA
2ce8227348e5bbf12b3d6d10c5e0.jpeg,"Bread, whole wheat, made from home recipe or purchased at bakery","{'wheat', 'bread'}",Y,"{'wheat flour','water','sugar','wheat gluten',wheat bran','yeast','soybean oil','salt','vinegar','cornstarch','ascrobic acid'}",Branded Foods,30034096113,"{'flour', 'water', 'sugar', 'yeast', 'oil', 'salt', 'cornstarch'}",NA
70f4f1d343188b277d124709678b.jpeg,"Vegetable soup, canned, prepared with water or ready-to-serve","{'vegetable', 'soup'}",Y,"{'chicken stock', 'tomato puree', 'celery', 'corn','green beans', 'peas', 'yeast extract' 'salt', 'garlic'}'",Branded Foods,51000201973,"{'stock', 'tomato', 'carrots', 'potatoes', 'pasta' ,' celery', 'corn', 'bean', 'pea', 'salt', 'yeast, 'onion'}",NA
568b45bb4e7b8df57ea801561bf7.jpeg,Tiramisu,{'tiramisu'},Y,"{'almond millk', 'cononut milk', 'almond flour', 'dates', 'coconut oil', 'cashew', 'coconut nectar', 'date syrup', 'vanilla extract', 'cacao powder', 'espresso', 'salt'}",Branded Foods,8.13E+11,"{'milk', 'flour', 'date', 'cashew', 'vanilla', 'cacao', 'espresso', 'salt'}",NA
ef2bcc05432794e658f6661ec30e.jpeg,Tiramisu,{'tiramisu'},Y,"{'almond millk', 'cononut milk', 'almond flour', 'dates', 'coconut oil', 'cashew', 'coconut nectar', 'date syrup', 'vanilla extract', 'cacao powder', 'espresso', 'salt'}",Branded Foods,8.13E+11,"{'milk', 'water', 'almond', 'coconut', 'flour', 'date', 'oil', 'cashew', 'vanilla', 'cacao', 'espresso', 'salt'}",NA
d0b9b6e849819a2454ba38efb68f.jpeg,Italian Wedding Soup,{'soup'},Y,"{'water','carrots','pasta','onion','spinach','corn starch','olive oil','canola oil','salt','distille dvinegar','yeast extract','potato starch','dried onion','garlic powder','spices','barley malt extract','red bell pepper','tumeric','sugar'}",Branded Foods,8.42E+11,"{'water', 'carrot', 'pasta', 'onion', 'spinach', 'cornstarch', 'oil', 'salt', 'vinegar', 'yeast', 'garlic', 'pepper', 'sugar'}",NA
02c2e79b4a898e66efa24cb64202.jpeg,"Minestrone soup, canned, prepared with water, or ready-to-serve","{'soup', 'minestrone'}",Y,"{'water', 'tomato puree', 'carrots,' 'celery', 'kidney beans', 'peas', 'cabbage', 'potatoes', 'green beans', 'enriched penne pasta', 'gabanzo beans', ' spinach', 'salt', 'food starch', 'soybean oil', 'onion powder', 'garlic powder', 'dried parsley'}'",Branded Foods,35742221031,"{'water', 'tomato', 'carrot', 'celery', 'bean', 'pea', 'cabbage', 'potato', 'flour', 'egg', 'spinach', 'salt', 'starch', 'oil', 'onion', 'garlic', 'parsley'}",NA
d831d20548079792caf1b9af749d.jpeg,"Pretzels, hard, plain, salted",{'pretzel'},Y,"{'flour', 'water', 'butter,' 'salt', 'yeast'}'",Branded Foods,7.36E+11,"{'flour', 'water', 'butter', 'salt', 'yeast'}",NA
0b3fdf4f4402b7e8beabed5ba639.jpeg,"Pretzels, hard, multigrain",{'pretzel'},Y,"{'flour', 'water', 'butter,' 'salt', 'yeast'}'",Branded Foods,7.36E+11,"{'flour', 'water', 'butter', 'salt', 'yeast'}",NA
c3d08de64429b60b7026c7adf0f0.jpeg,"Pretzels, hard, plain, gluten free",{'pretzel'},Y,"{'flour', 'water', 'butter,' 'salt', 'yeast'}'",Branded Foods,7.36E+11,"{'flour', 'water', 'butter', 'salt', 'yeast'}",NA
cdb7fce94eeeae45e2adbed2d257.jpeg,"Pretzels, hard, plain, salted",{'pretzel'},Y,"{'flour', 'water', 'butter,' 'salt', 'yeast'}'",Branded Foods,7.36E+11,"{'flour', 'water', 'butter', 'salt', 'yeast'}",NA
3b018dc94753a4292cf2bae11868.jpeg,Pita chips,"{'pita', 'chip'}",Y,"{'wheat flour', 'oil', 'sugar', 'oat fiber', 'yeast', 'malted barley flour', 'egg', 'milk', 'salt'}",Branded Foods,28400235259,"{'flour', 'oil', 'salt', 'sugar', 'oat', 'yeast'}",NA
1a8d059b43218c2a2f3d1bf731fc.jpeg,"Guacamole, NFS, Chicken breast, sauteed, skin not eaten, Peppers, green, cooked, made with oil, Onions, cooked, from fresh, made with oil","{'pepper', 'green', 'onion', 'chicken', 'oil', 'guacamole'}",Y,"{'avocado', 'corn', 'salt', 'onion', 'garlic', 'red bell pepper', 'jalapeno', 'cilantro', 'sugar'",Branded Foods,8.12E+11,"{'avocado', 'corn', 'salt', 'onion', 'garlic', 'pepper', 'jalapeno', 'cilantro', 'sugar'}",NA
e4ba853d410190d5e8c53d7f4118.jpeg,"Bagel, Butter, stick, salted, Pepper, sweet, red, raw","{'pepper', 'butter', 'bagel', 'stick'}",Y,"{'black and white sesame seed', 'onion', 'garlic', 'poppy seed,' 'salt', 'canola oil'}'",Branded Foods,33844000967,"{'sesame', 'onion', 'garlic', 'poppy', 'salt', 'oil, 'butter', 'yeast', 'water', 'flour', 'egg', 'pepper'}",NA
5a72e1374ed08171699703685e31.jpeg,"Pancakes, plain",{'pancake'},Y,"{'white rice flour', 'brown rice flour', 'white sorghum flour', 'tapioca flour', 'sugar', 'milk', 'egg', 'baking pwder', 'baking soda', 'salt'}",Branded Foods,6.60E+11,"{'flour', 'sugar', 'milk', 'egg', 'salt'}",NA
db96b80e4d9b90da93b84f39214f.jpeg,"Pancakes, whole grain",{'pancake'},Y,"{'white rice flour', 'brown rice flour', 'white sorghum flour', 'tapioca flour', 'sugar', 'milk', 'egg', 'baking pwder', 'baking soda', 'salt'}",Branded Foods,6.60E+11,"{'flour', 'sugar', 'milk', 'egg', 'salt'}",NA
a30723d346be99bc2a3b19b4a0ec.jpeg,"Pancakes, plain, Maple syrup","{'pancake', 'syrup'}",Y,"{'white rice flour', 'brown rice flour', 'white sorghum flour', 'tapioca flour', 'sugar', 'milk', 'egg', 'baking pwder', 'baking soda', 'salt'}",Branded Foods,6.60E+11,"{'flour', 'sugar', 'milk', 'egg', 'salt'}",NA
fddfc39847258f3d0e7c185bf88c.jpeg,"Pancakes, plain, Maple syrup","{'pancake', 'syrup'}",Y,"{'white rice flour', 'brown rice flour', 'white sorghum flour', 'tapioca flour', 'sugar', 'milk', 'egg', 'baking pwder', 'baking soda', 'salt'}",Branded Foods,6.60E+11,"{'flour', 'sugar', 'milk', 'egg', 'salt'}",NA
a0c973904f90b44fe51983633110.jpeg,"Pancakes, plain, Butter, whipped, tub, salted, Maple syrup","{'pancake', 'syrup', 'butter'}",Y,"{'white rice flour', 'brown rice flour', 'white sorghum flour', 'tapioca flour', 'sugar', 'milk', 'egg', 'baking pwder', 'baking soda', 'salt'}",Branded Foods,6.60E+11,"{'flour', 'sugar', 'milk', 'egg', 'salt'}",NA
7fb2218c4860b4681212cce109c3.jpeg,"Pancakes, plain, Banana, raw, Syrup, pancake, reduced calorie, Walnuts","{'pancake', 'syrup', 'banana', 'walnut'}",Y,"{'white rice flour', 'brown rice flour', 'white sorghum flour', 'tapioca flour', 'sugar', 'milk', 'egg', 'baking pwder', 'baking soda', 'salt'}",Branded Foods,6.60E+11,"{'flour', 'sugar', 'milk', 'egg', 'salt', 'banana', 'syrup', 'walnut'}",NA
28a61d9e45b08404beae77583834.jpeg,"Pancakes, plain, from frozen, Egg, whole, cooked, NS as to cooking method","{'pancake', 'egg'}",Y,"{'white rice flour', 'brown rice flour', 'white sorghum flour', 'tapioca flour', 'sugar', 'milk', 'egg', 'baking pwder', 'baking soda', 'salt'}",Branded Foods,6.60E+11,"{'flour', 'sugar', 'milk', 'egg', 'salt'}",NA
cecd94e2465c8f349a93d90d7ab5.jpeg,"Pretzels, soft, from frozen, salted, Mustard","{'mustard', 'pretzel'}",Y,"{'flour', 'water', 'butter,' 'salt', 'yeast'}'",Branded Foods,7.36E+11,"{'flour', 'water', 'butter', 'salt', 'yeast'}",NA
26a822224ea3a9088fddd266ff94.jpeg,"Muffin, fruit",{'muffin'},Y,"{'wheat flour', 'cornmeal', 'canola oil', 'yeast', 'buttermilk', 'sea salt', 'water'}",Branded Foods,8.60E+11,"{'flour', 'sugar', 'egg', 'cranberry', 'orange', 'butter', 'salt'}",NA
90c8da514750a88a78a760b4b377.jpeg,"Cookie, molasses","{'molasses', 'cookie'}",Y,"{'flour', 'molasses', 'sugar', 'palm oil', 'corn syrup', 'raisin paiste', 'eggs', 'baking soda', 'corn starch', 'salt', 'spices', 'dry milk'}",Branded Foods,1.93E+11,"{'flour', 'molasses', 'sugar', 'oil', 'egg', 'cornstarch', 'salt', 'milk'}",NA
5b66823b41739d72c56ce45a03c6.jpeg,"Lentil soup, home recipe, canned, or ready-to-serve","{'lentil', 'soup'}",Y,"{'water', 'lentils', 'celery', 'tomato paste', 'spinach', 'cornstarch', 'salt', 'soybean oil', 'sugar', 'potassium chloride', 'yeast extract', 'onion powder', garlic powder'}",Branded Foods,70784252568,"{'water', 'lentil', 'celery', 'tomato', 'spinach', 'cornstarch', 'salt', 'oil', 'sugar', 'yeast', 'onion', 'garlic'}",NA
2536793d48a7aa31df7af486b84e.jpeg,"Lentil soup, home recipe, canned, or ready-to-serve","{'lentil', 'soup'}",Y,"{'water', 'lentils', 'celery', 'tomato paste', 'spinach', 'cornstarch', 'salt', 'soybean oil', 'sugar', 'potassium chloride', 'yeast extract', 'onion powder', garlic powder'}",Branded Foods,70784252568,"{'water', 'lentil', 'celery', 'tomato', 'spinach', 'bean', 'cornstarch', 'salt', 'oil', 'sugar', 'yeast', 'onion', 'garlic'}",NA
765766ca4c31a48e0af8a9a289f3.jpeg,"Trail mix with nuts and fruit, Fruit juice drink, diet","{'juice', 'nut'}",Y,"{'cranberries','almonds','cashew','raisin','sunflower seed','pumkin seed','macadamia nut','pistachios','goji berries','cacao powder','apricots','coconut',' sea salt'}",Branded Foods,7.48E+11,"{'cranberry', 'almond', 'cashew', 'raisin', 'macadamia', 'pistachio', 'goji', 'mulberry', 'date', 'apricot', 'oil', 'salt'}",NA
638d9b314e6ababedbd0af3e6221.jpeg,"Cookie, brownie, with icing or filling","{'icing', 'cookie', 'brownie'}",Y,"{'whey protein', 'wheat flour', 'butter', 'chocolate chips', 'cane sugar', 'cocoa powder', 'dry egg', 'tapioca syrup', 'molasses', 'milk powder', 'raisin', 'vanilla extract', 'baking powder', 'soy bean oil', 'salt', 'baking soda'}",Branded Foods,8.52E+11,"{'flour', 'oil', 'butter', 'chocolate', 'sugar', 'cocoa', 'egg', 'molasses',' milk', 'vanilla', 'salt'}",NA
bd5cd92b4fa29e6f068b92fce8b6.jpeg,"Cookie, brownie, without icing","{'icing', 'cookie', 'brownie'}",Y,"{'whey protein', 'wheat flour', 'butter', 'chocolate chips', 'cane sugar', 'cocoa powder', 'dry egg', 'tapioca syrup', 'molasses', 'milk powder', 'raisin', 'vanilla extract', 'baking powder', 'soy bean oil', 'salt', 'baking soda'}",Branded Foods,8.52E+11,"{'flour', 'oil', 'butter', 'chocolate', 'sugar', 'cocoa', 'vanilla', 'egg', 'molasses', 'milk', 'salt', 'horchata'}",NA
99d236b149959aa11b176dc66f72.jpeg,"Cookie, brownie, without icing","{'icing', 'cookie', 'brownie'}",Y,"{'whey protein', 'wheat flour', 'butter', 'chocolate chips', 'cane sugar', 'cocoa powder', 'dry egg', 'tapioca syrup', 'molasses', 'milk powder', 'raisin', 'vanilla extract', 'baking powder', 'soy bean oil', 'salt', 'baking soda'}",Branded Foods,8.52E+11,"{'flour', 'oil', 'butter', 'chocolate', 'sugar', 'cocoa', 'egg', 'molasses',' milk', 'vanilla', 'salt'}",NA
8fee05b142028317a1f13b28b8b9.jpeg,"Cookie, brownie, without icing, spartan, real semi-sweet chocolate baking chips, upc: 011213162966, margarine, regular, 80% fat, composite, stick, without salt, milk, fluid, 1% fat, without added vitamin a and vitamin d, sugars, powdered","{'icing', 'cookie', 'brownie', 'chip', 'salt', 'chocolate', 'margarine', 'milk', 'sugar', 'stick'}",Y,"{'whey protein', 'wheat flour', 'butter', 'chocolate chips', 'cane sugar', 'cocoa powder', 'dry egg', 'tapioca syrup', 'molasses', 'milk powder', 'raisin', 'vanilla extract', 'baking powder', 'soy bean oil', 'salt', 'baking soda'}",Branded Foods,8.52E+11,"{'flour', 'oil', butter', 'chocolate', 'sugar', 'cocoa', 'vanilla', 'egg', 'molasses', 'milk', 'salt'}",NA
9d2e8e0d407a8e8711660ba089c8.jpeg,"Cookie, brownie, without icing, Cookie, chocolate chip, made from home recipe or purchased at a bakery, Apple, raw","{'icing', 'cookie', 'brownie', 'chip', 'chocolate', 'apple'}",Y,"{'flour', 'chocolate chip', 'cocoa butter', 'palm oil', 'corn syrup', 'sugar', 'brown sugar', 'honey', 'whole eggs', 'cornstarch', 'salt', 'natural cocoa'}",Branded Foods,6.55E+11,"{'flour', 'chocolate', 'sugar', 'oil', 'honey', 'egg', 'cornstarch', 'salt', 'cocoa'}",NA
f8d5521649f2997ca2dd0060e195.jpeg,"Cookie, butter or sugar, with icing or filling other than chocolate, Candy, NFS, Cookie, peanut butter, Milk chocolate candy, plain","{'icing', 'butter', 'cookie', 'chocolate', 'milk', 'sugar', 'peanut', 'candy'}",Y,"{'whey protein', 'wheat flour', 'butter', 'chocolate chips', 'cane sugar', 'cocoa powder', 'dry egg', 'tapioca syrup', 'molasses', 'milk powder', 'raisin', 'vanilla extract', 'baking powder', 'soy bean oil', 'salt', 'baking soda'}",Branded Foods,8.52E+11,"{'flour', 'oil', butter', 'chocolate', 'sugar', 'cocoa', 'vanilla', 'egg', 'molasses', 'milk', 'salt'}",NA
2ae2ccf448579f9a8352e2a90dae.jpeg,"Hummus, plain",{'hummus'},Y,"{'gabanzo beans','water','tehina','soybean oil','avocado','cilantro','garlic','salt','citric acid','spices'}",Branded Foods,7.55E+11,"{'bean', 'water', 'oil', 'avocado', 'tahini' 'cilantro', 'garlic', 'salt'}",NA
971bb4d84e1091ee3c6cbf942d53.jpeg,"Cookie, NFS, Horchata beverage, made with milk","{'horchata', 'cookie', 'milk'}",Y,"{'whey protein', 'wheat flour', 'butter', 'chocolate chips', 'cane sugar', 'cocoa powder', 'dry egg', 'tapioca syrup', 'molasses', 'milk powder', 'raisin', 'vanilla extract', 'baking powder', 'soy bean oil', 'salt', 'baking soda'}",Branded Foods,8.52E+11,"{'flour', 'oil', 'butter', 'chocolate', 'sugar', 'cocoa', 'vanilla', 'egg', 'molasses', 'milk', 'salt', 'horchata'}",NA
b9df04474f88941d52b363067bb4.jpeg,"Guacamole, NFS",{'guacamole'},Y,"{'avocado', 'corn', 'salt', 'onion', 'garlic', 'red bell pepper', 'jalapeno', 'cilantro', 'sugar'",Branded Foods,8.12E+11,"{'avocado', 'corn', 'salt', 'onion', 'garlic', 'pepper', 'jalapeno', 'cilantro', 'sugar'}",NA
e39a8c3246eba7cdf3db69cb50ee.jpeg,"Doughnut, cake type, plain","{'doughnut', 'cake'}",Y,"{'flour', 'oil', 'sugar', 'egg', 'milk', 'salt'}",Branded Foods,72470000446,"{'flour', 'water', 'oil', 'sugar', 'egg', 'milk', 'salt', 'syrup', 'starch'}",NA
4a701ac7457b85a541f15ff693be.jpeg,"Bread, sour dough","{'dough', 'bread'}",Y,"{'wheat flour', 'water', 'fermented wheat flour',  'yeast', 'corn meal', 'salt', 'malted barley flour', 'enzymes', 'soy oil', 'whole milk', 'whole egg'}",Branded Foods,7.57E+11,"{'flour', 'yeast', 'cornmeal', 'salt', 'oil', 'milk', 'egg'}",NA
fe13f5224927a4537ce03737fbb8.jpeg,"Pastry, puff, custard or cream filled, iced or not iced","{'custard', 'pastry', 'cream'}",Y,"{'flour', 'sugar', 'vegetable oils', 'salt','juice concentrate', 'milk', 'egg yolks', 'enzymes', 'whipped cream'}",Branded Foods,1121302567,"{'cream', 'flour', 'sugar', 'oil', 'salt', 'milk', 'egg', 'vanilla'}",NA
818a6db2420785eaa9a9ef9c411f.jpeg,"Pastry, puff, custard or cream filled, iced or not iced","{'custard', 'pastry', 'cream'}",Y,"{'flour', 'sugar', 'vegetable oils', 'salt','juice concentrate', 'milk', 'egg yolks', 'enzymes'}",Branded Foods,70569139503,"{'flour', 'sugar', 'oil', 'salt', 'milk', 'egg'}",NA
45281d8e4223926020e784015b93.jpeg,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling","{'cupcake', 'icing', 'cake', 'chocolate', 'devil', 'fudge'}",Y,"{'sugar', 'water', 'corn syrup', 'bleached flour', 'corn syrup', 'soybean oil', 'palm oil', 'egg', 'cocoa', 'modified food starch', 'dextrose', 'leavening', 'cornstarch', 'choclate liqor', 'salt', 'citric acid', 'xanthan gum', 'caramel color'}",Branded Foods,21130117604,"{'sugar', 'water', 'flour', 'oil', 'egg', 'cocoa', 'cornstarch', 'chocolate', 'salt', 'tumeric'}",NA
0c53b4574b88862b657d9d7dfe88.jpeg,"Cake or cupcake, banana, with icing or filling","{'cupcake', 'icing', 'banana', 'cake'}",Y,"{'sugar', 'egg', 'palm oil', 'rice flour', 'water', 'sunflower oil', 'potato starch', 'milk', 'cornstarch', 'tapioca starch', 'butter', 'baking powder', 'vanilla', 'salt'}",Branded Foods,8.13E+11,"{'sugar', 'egg', 'oil', 'flour', 'water', 'milk', 'cornstarch', 'butter', 'vanilla', 'salt'}",NA
