filename,Food_Description,top1,food_count,Occ_Name,clean_description,clean_im2r,F1_score
ef62a85b4f0fb11767d02d7a3a63.jpeg,"Mixed vegetables, cooked, from frozen, fat not added in cooking","Olive oil, Cheese, Bread, Spinach, Pear, Pine nuts, Squash, Onions, Persimmon",1,Dinner,{'vegetable'},"{'olive', 'pine', 'squash', 'nut', 'onion', 'pear', 'spinach', 'cheese', 'oil', 'persimmon', 'bread'}",0.0
2bfaec23413b97d69a0d2b0da555.jpeg,"Macaroni or noodles with cheese, made from packaged mix","Pasta with vegetables, Teriyaki sauce, Broccoli, Chicken breast",1,Dinner,"{'macaroni', 'cheese', 'noodle'}","{'pasta', 'teriyaki', 'chicken', 'broccoli', 'vegetable'}",0.0
1ea0b2cd4ad4817d96179b66bf4f.jpeg,"Coffee, Latte, flavored, Milk, condensed, sweetened","Coffee creamer, Iced Coffee",2,Breakfast,"{'coffee', 'milk', 'latte'}",{'coffee'},0.5
431468614256b6b19fa1420debb3.jpeg,"Bread, NS as to major flour, toasted, Avocado, raw","Salad dressing, Bread stuffing, Olive oil, Alfalfa sprouts, Egg, Romaine lettuce, Mixed salad greens, Mayonnaise",2,Breakfast,"{'flour', 'bread', 'avocado'}","{'olive', 'lettuce', 'romaine', 'mayonnaise', 'stuffing', 'alfalfa', 'oil', 'sprout', 'egg', 'salad', 'bread', 'green'}",0.13333333333333333
5813f6334be6b5b79d31a9e3af4b.jpeg,"Egg omelet or scrambled egg, with cheese, made with margarine","Tuna salad, Lettuce, Cheese, Bread, Onions, Pepper, Cucumber pickles",1,Lunch,"{'omelet', 'egg', 'cheese', 'margarine'}","{'lettuce', 'cucumber', 'tuna', 'onion', 'cheese', 'pepper', 'salad', 'bread', 'pickle'}",0.15384615384615383
705a989a42b58f5fd91caefdd07e.jpeg,"Carrots, raw, Sauerkraut, cooked, NS as to fat added in cooking, Salami, NFS, Crackers, rice, Tangerine, raw, Tzatziki dip, Date","Strawberries, Blueberries, Tomatoes, Vegetarian burger or patty",7,Snack,"{'tangerine', 'cracker', 'salami', 'tzatziki', 'date', 'carrot', 'rice', 'sauerkraut'}","{'tomato', 'strawberry', 'burger', 'blueberry'}",0.0
cf8ee04b46259131b3d09bb2e3cd.jpeg,"Noodle soup, NFS","Chicken breast, Corn, White beans, Red kidney beans, Peppers, Onions, Chicken or turkey broth, Garlic",1,Dinner,"{'soup', 'noodle'}","{'bean', 'onion', 'chicken', 'broth', 'pepper', 'corn', 'garlic', 'turkey'}",0.0
8a69c82042c8905cd7319e44c55e.jpeg,"Tea, hot, leaf, black, decaffeinated","Carbonated water, Cranberry juice",1,Dinner,{'tea'},"{'juice', 'cranberry'}",0.0
b31d525947698ea0bcab7794c810.jpeg,"Coffee, brewed","Cereal, Almond milk",1,Breakfast,{'coffee'},"{'milk', 'cereal', 'almond'}",0.0
618c157b437bb2174856f4cdc187.jpeg,"Cereal, granola, Almond milk, sweetened","Sunflower seeds, Banana, Oatmeal, Milk, Chia seeds",2,Breakfast,"{'milk', 'cereal', 'almond', 'granola'}","{'oatmeal', 'milk', 'seed', 'banana', 'chia'}",0.22222222222222224
218907d243908d0ea040a354484b.jpeg,"Applesauce, regular, apples, raw, with skin, water, bottled, generic, sugars, granulated, lemon juice, raw",Orange juice,1,Lunch,"{'juice', 'apple', 'lemon', 'sugar', 'applesauce'}","{'orange', 'juice'}",0.28571428571428575
914f47984401a45190539c620deb.jpeg,"Chocolate, sweet or dark",Chocolate milk,1,Lunch,{'chocolate'},"{'milk', 'chocolate'}",0.6666666666666666
6af2c2b5485ea3118cd8d48fda89.jpeg,"Bread, sour dough, Cheese, Brick, Turkey, NFS","Salad dressing, Bread stuffing, Olive oil, Alfalfa sprouts, Egg, Romaine lettuce, Mixed salad greens, Mayonnaise",3,Lunch,"{'cheese', 'dough', 'bread', 'turkey'}","{'olive', 'lettuce', 'romaine', 'mayonnaise', 'stuffing', 'alfalfa', 'oil', 'sprout', 'egg', 'salad', 'bread', 'green'}",0.125
b35545bf43c4b7ad7f3a1cb28815.jpeg,"Chicken fillet, breaded, Honey mustard dip, Potato, french fries, from fresh, baked, Olive oil, Bread, French or Vienna, Butter, stick, salted",Lamb chop,6,Dinner,"{'olive', 'fry', 'fillet', 'stick', 'mustard', 'butter', 'chicken', 'oil', 'honey', 'bread', 'potato'}",{'lamb'},0.0
a014fbc240c78c401b15a81803ad.jpeg,"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; two crust, Ice cream, regular, flavors other than chocolate","Butter, Peanut butter, Coconut, Oats, Biscuit mix, Fruit mixture",2,Dinner,"{'ice', 'pie', 'huckleberry', 'cream', 'flavor', 'raspberry', 'boysenberry', 'blackberry', 'strawberry', 'blueberry', 'chocolate', 'berry'}","{'peanut', 'coconut', 'butter', 'oat', 'mixture', 'biscuit'}",0.0
c55f139246ed823449b2fb6bfe20.jpeg,"Beer, higher alcohol","Cranberry juice drink, Carbonated water",1,Dinner,{'beer'},"{'juice', 'cranberry'}",0.0
35d4874a47c8ac5ecc260cb21d05.jpeg,"Cereal (Quaker Oatmeal Squares), Almond milk, sweetened","Seaweed soup, Mushrooms",2,Breakfast,"{'oatmeal', 'square', 'milk', 'cereal', 'almond'}","{'seaweed', 'mushroom', 'soup'}",0.0
cc5d08e240758f38c27b432ce56f.jpeg,"Coffee, brewed",Pear,1,Breakfast,{'coffee'},{'pear'},0.0
69e4dad84caa9e0f82fec290becc.jpeg,"Bread, Italian, Grecian, Armenian, Mustard, Hot pepper sauce, Ham, prepackaged or deli, luncheon meat, Pork, NS as to cut, cooked, NS as to fat eaten, Cheese, Swiss","Salad dressing, Bread stuffing, Olive oil, Alfalfa sprouts, Egg, Romaine lettuce, Mixed salad greens, Mayonnaise",6,Lunch,"{'pork', 'swiss', 'mustard', 'cheese', 'meat', 'ham', 'pepper', 'bread'}","{'olive', 'lettuce', 'romaine', 'mayonnaise', 'stuffing', 'alfalfa', 'oil', 'sprout', 'egg', 'salad', 'bread', 'green'}",0.1
bf4fc4cc431c8a9a385e70a74062.jpeg,"Carrots, raw","Chicken or turkey with teriyaki, Broccoli",1,Lunch,{'carrot'},"{'teriyaki', 'chicken', 'broccoli', 'turkey'}",0.0
500eb007494c9c7b36247d975e63.jpeg,"Graham crackers, wheat flour, white, all-purpose, unenriched, wheat flour, white, all-purpose, unenriched, sugars, brown, leavening agents, baking powder, double-acting, sodium aluminum sulfate, leavening agents, baking soda, salt, table, spices, cinnamon, ground, butter, without salt, molasses, milk, fluid, 1% fat, without added vitamin a and vitamin d, vanilla extract",Trail mix with chocolate,1,Lunch,"{'extract', 'wheat', 'agent', 'cracker', 'milk', 'cinnamon', 'flour', 'salt', 'sugar', 'butter', 'vanilla', 'graham', 'molasses', 'spice', 'soda'}",{'chocolate'},0.0
0ee20f954eb188951a157bee71bc.jpeg,"Beer, light","Cranberry juice drink, Carbonated water",1,Lunch,{'beer'},"{'juice', 'cranberry'}",0.0
a67cc6394404a246cb44a3e3d034.jpeg,"Tortellini, cheese-filled, meatless, with tomato sauce","Cucumber, Tomatoes, Cheese, Mixed salad greens, Chicken, Creamy dressing",1,Dinner,"{'cheese', 'tomato', 'tortellini'}","{'cucumber', 'cheese', 'chicken', 'tomato', 'salad', 'green'}",0.4444444444444444
5eafcdcb445ebd65b911b45fe24a.jpeg,"Orange chicken, Rice, white, cooked, fat not added in cooking","Mussels, Clams, Pasta with tomato-based sauce and seafood, Tomatoes",2,Dinner,"{'orange', 'chicken', 'rice'}","{'clam', 'mussel', 'pasta', 'tomato', 'seafood'}",0.0
2e0b4e934bae9d09a9a3c37826ae.jpeg,"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; two crust, Ice cream, regular, flavors other than chocolate","Banana, Yogurt, Raspberries, Honey",2,Dinner,"{'ice', 'pie', 'huckleberry', 'cream', 'flavor', 'raspberry', 'boysenberry', 'blackberry', 'strawberry', 'blueberry', 'chocolate', 'berry'}","{'banana', 'yogurt', 'raspberry', 'honey'}",0.125
c89923b84546a80fce3449f7c478.jpeg,"Coffee, brewed","Cranberry juice drink, Carbonated water",1,Breakfast,{'coffee'},"{'juice', 'cranberry'}",0.0
47acd8b0402ba5d7a56a845e0fde.jpeg,"Oatmeal, regular or quick, made with water, fat added in cooking, Maple syrup","Burrito with beans and rice, Sour cream, Salsa",2,Breakfast,"{'oatmeal', 'syrup'}","{'cream', 'bean', 'burrito', 'rice', 'salsa'}",0.0
0174f26e47f5a8f356b58ed83f20.jpeg,Chicken or turkey and rice with tomato-based sauce,"Potato chips, Ground beef",1,Lunch,"{'chicken', 'rice', 'tomato', 'turkey'}","{'potato', 'chip', 'beef'}",0.0
b272f6fd4357aacd817608a619f4.jpeg,"Chocolate, sweet or dark, Chocolate, sweet or dark","Carbonated water, Cranberry juice",2,Lunch,{'chocolate'},"{'juice', 'cranberry'}",0.0
0b3fdf4f4402b7e8beabed5ba639.jpeg,"Pretzels, hard, multigrain",Espresso coffee beans,1,Snack,{'pretzel'},"{'coffee', 'espresso', 'bean'}",0.0
b536e8a74768b57c1d892c687329.jpeg,"Pizza with meat and vegetables, from frozen, medium crust, shortening, vegetable, household, composite, water, bottled, generic",Pizza with pepperoni,1,Dinner,"{'meat', 'pizza', 'shortening', 'vegetable'}","{'pizza', 'pepperoni'}",0.3333333333333333
6bf245e648fdbb70d9732f92071d.jpeg,"Lettuce, raw, Chicken or turkey broth, bouillon, or consomme, Pork chop, NS as to cooking method, lean and fat eaten, Sweet potato, boiled, fat not added in cooking, Onions, young green, raw",Chicken or turkey soup with dumplings,5,Breakfast,"{'lettuce', 'pork', 'onion', 'consomme', 'chicken', 'broth', 'green', 'potato', 'turkey'}","{'chicken', 'dumpling', 'soup', 'turkey'}",0.30769230769230765
fa18c1834aefb66d007f2c136b19.jpeg,"Ground beef patty, cooked, Roll, white, hamburger bun, Mayonnaise, regular, Lettuce, raw, Onions, mature, raw, Cucumber pickles, dill, Tomatoes, raw, Cheese, American","Salad dressing, Bread stuffing, Olive oil, Alfalfa sprouts, Egg, Romaine lettuce, Mixed salad greens, Mayonnaise",8,Lunch,"{'bun', 'roll', 'lettuce', 'cucumber', 'mayonnaise', 'onion', 'beef', 'cheese', 'dill', 'tomato', 'hamburger', 'pickle'}","{'olive', 'lettuce', 'romaine', 'mayonnaise', 'stuffing', 'alfalfa', 'oil', 'sprout', 'egg', 'salad', 'bread', 'green'}",0.16666666666666666
c2983e574062952056e6277a0203.jpeg,"Peach, raw, Tomatoes, raw, Kiwi fruit, raw","Fruit salad, Yogurt",3,Snack,"{'kiwi', 'peach', 'tomato'}","{'yogurt', 'salad'}",0.0
b34021af4bf395931fa58712236e.jpeg,"Strawberries, raw","Salmon, Broccoli, Kale",1,Snack,{'strawberry'},"{'kale', 'salmon', 'broccoli'}",0.0
544838a942f89f75803189b7690e.jpeg,"Lettuce, raw, Cucumber, raw, Rice, white, cooked, fat not added in cooking, Salmon, baked or broiled, made with oil","Orange, Olive oil, Egg, Avocado, Onions, Milk, Yogurt",4,Dinner,"{'lettuce', 'cucumber', 'salmon', 'oil', 'rice'}","{'olive', 'yogurt', 'onion', 'milk', 'avocado', 'oil', 'egg', 'orange'}",0.15384615384615385
c1c5ba804585b55dc27aafa0dc6a.jpeg,"Shrimp, coated, fried, made with oil, Dumpling, steamed, filled with meat, poultry, or seafood, Shrimp, steamed or boiled","Strawberries, Pineapple, Jello (gelatin) powder, Banana, Sour cream",3,Breakfast,"{'meat', 'oil', 'shrimp', 'seafood'}","{'cream', 'gelatin', 'banana', 'jello', 'strawberry', 'pineapple'}",0.0
b4866cc344b9b4dc836f2593db46.jpeg,"Nectarine, raw, Tangerine, raw, Tomatoes, raw","Tomatoes, Cheese, Roll, Romaine lettuce, Tomato catsup",3,Snack,"{'tangerine', 'tomato', 'nectarine'}","{'roll', 'lettuce', 'romaine', 'cheese', 'tomato', 'catsup'}",0.2222222222222222
b925b7ec4521b7d04d04dad07dc0.jpeg,"Rice, white, cooked, fat not added in cooking, Catfish, coated, fried, made with oil, Tomatoes, raw","Strawberries, Pineapple, Jello (gelatin) powder, Banana, Sour cream",3,Lunch,"{'tomato', 'catfish', 'oil', 'rice'}","{'cream', 'gelatin', 'banana', 'jello', 'strawberry', 'pineapple'}",0.0
y47wya4sqwzxha9ihbym4fwgwlmv.jpeg,"Lobster, baked or broiled, fat added in cooking, Pasta, cooked, Onions, green, cooked, from fresh, fat added in cooking","Raspberries, Pork sausage, Avocado, Egg omelet or scrambled egg, Potato",3,Breakfast,"{'onion', 'pasta', 'lobster', 'green'}","{'pork', 'raspberry', 'avocado', 'egg', 'potato', 'omelet', 'sausage'}",0.0
ba31eff24717bdebcd612be524cf.jpeg,"Rice, white, with soy-based sauce, fat not added in cooking, Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added in cooking, Cabbage, green, cooked, made with oil, Mushrooms, cooked, from fresh, made with oil, Tomatoes, cooked, from fresh, NS as to method","Sugar, Egg, Pork roast, Garlic, Rice, Salt, Pineapple juice, Flour, Soy sauce",5,Breakfast,"{'soy', 'mushroom', 'cabbage', 'egg', 'tomato', 'oil', 'rice', 'omelet', 'vegetable', 'green'}","{'juice', 'pork', 'soy', 'salt', 'flour', 'roast', 'sugar', 'pineapple', 'egg', 'rice', 'garlic'}",0.28571428571428564
602dcbe34f09bf90555b9de259fe.jpeg,"Fruit, NS as to type, Strawberries, raw, Blueberries, raw","Turkey or chicken sausage, Maple syrup, French toast",3,Snack,"{'strawberry', 'blueberry'}","{'chicken', 'sausage', 'syrup', 'turkey'}",0.0
0abf4c0a43a88d377b53bbc258ac.jpeg,"Cream of tartar, Baking soda, Flour, rice, white, Cornstarch, Egg, whole, baked, fat not added in cooking, Sugar, white, granulated or lump, Salt, table, Coconut cream, canned, sweetened","Salami, Tortellini, Cheese",8,Snack,"{'cream', 'cornstarch', 'flour', 'salt', 'coconut', 'sugar', 'egg', 'rice', 'soda'}","{'cheese', 'tortellini', 'salami'}",0.0
142508b84416a346717ddf2a3723.jpeg,"Rice, white, with soy-based sauce, fat not added in cooking, Soybean curd, deep fried, Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added in cooking, Cabbage, Chinese, cooked, made with oil, Onions, cooked, from fresh, made with oil","Radish, Italian dressing, Lettuce",5,Lunch,"{'soy', 'onion', 'soybean', 'cabbage', 'egg', 'tomato', 'oil', 'rice', 'omelet', 'vegetable', 'green'}","{'radish', 'lettuce'}",0.0
bc461ccf4b7f9b6a87ffd29bc988.jpeg,"Tangerine, raw, Banana, raw","Blueberries, Yogurt, Cereal (Nature's Path Organic Flax Plus)",2,Breakfast,"{'banana', 'tangerine'}","{'yogurt', 'nature', 'cereal', 'blueberry', 'flax'}",0.0
8bac57e94cc689af6efaf6cec06e.jpeg,"Flour, rice, white, Rice, white, cooked, fat not added in cooking, Salt, table, Water, tap, Flour, white, all-purpose, Cucumber, raw, Pork, ground or patty, cooked, Pork, ground or patty, cooked, Pepper, black, Garlic, raw, Pepper, hot chili, raw, Sugar, NFS, Salt, table, Shrimp, steamed or boiled","Cucumber, Croutons, Tomatoes, Mixed salad greens, Chicken, Italian dressing, Romaine lettuce",14,Breakfast,"{'pork', 'cucumber', 'flour', 'salt', 'sugar', 'pepper', 'rice', 'chili', 'garlic', 'shrimp'}","{'lettuce', 'cucumber', 'romaine', 'chicken', 'tomato', 'crouton', 'salad', 'green'}",0.11111111111111112
db544a8740edaa72e11853ecdc63.jpeg,"Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar","Carbonated water, Cranberry juice",1,Breakfast,"{'tea', 'sugar'}","{'juice', 'cranberry'}",0.0
ce2cc56c436a863361d94a3da3ed.jpeg,"Chia seeds, Coconut milk, Almond butter, Pomegranate, raw, Plum, raw",Cranberry juice,5,Breakfast,"{'milk', 'coconut', 'seed', 'butter', 'almond', 'plum', 'chia', 'pomegranate'}","{'juice', 'cranberry'}",0.0
d8e866944951982c3a370108e845.jpeg,"Iced Coffee, brewed, Cream, half and half, Iced Coffee, brewed, Cream, half and half","Cranberry juice drink, Carbonated water",4,Breakfast,"{'coffee', 'cream'}","{'juice', 'cranberry'}",0.0
e9087b094e84843301857fff831f.jpeg,Croissant,"Yogurt, Grapes, Snowpeas, Carrots",1,Snack,{'croissant'},"{'snowpeas', 'yogurt', 'grape', 'carrot'}",0.0
51feb7eb4fb4a7b796a59d25ba8d.jpeg,"Naan, Indian flatbread, Avocado, raw, Carrots, raw, Romaine lettuce, raw, Onions, mature, raw, Hot pepper sauce","Salad dressing, Bread stuffing, Olive oil, Alfalfa sprouts, Egg, Romaine lettuce, Mixed salad greens, Mayonnaise",6,Lunch,"{'lettuce', 'romaine', 'flatbread', 'onion', 'avocado', 'naan', 'carrot', 'pepper'}","{'olive', 'lettuce', 'romaine', 'mayonnaise', 'stuffing', 'alfalfa', 'oil', 'sprout', 'egg', 'salad', 'bread', 'green'}",0.2
2d526ce842c696a3c4668317d3aa.jpeg,"Cereal, granola","Banana, Cereal (Post Honey Bunches of Oats Honey Roasted), Milk",1,Snack,"{'cereal', 'granola'}","{'milk', 'cereal', 'bunch', 'banana', 'oat', 'honey'}",0.25
9db613314717a29886390068acbe.jpeg,"Broccoli, cooked, from fresh, fat not added in cooking, Egg, whole, boiled or poached, Cheese, Parmesan, dry grated, Flour, white, all-purpose, Garlic, cooked, Romaine lettuce, raw, Carrots, raw, Onions, mature, raw, Pomegranate, raw, Italian dressing, made with vinegar and oil, Yogurt, whole milk, plain, Garlic, raw, Lemon juice, 100%, freshly squeezed, Olive oil, Hot pepper sauce","Lettuce, Tomatoes, Cheese, Mixed salad greens, Chicken, Italian dressing",15,Dinner,"{'olive', 'yogurt', 'carrot', 'vinegar', 'garlic', 'juice', 'romaine', 'onion', 'flour', 'oil', 'pepper', 'lemon', 'cheese', 'egg', 'broccoli', 'lettuce', 'milk', 'pomegranate', 'parmesan'}","{'lettuce', 'cheese', 'chicken', 'tomato', 'salad', 'green'}",0.16
8a752e96432a8312a2cd955d2890.jpeg,"Wine, table, red","Cranberry juice drink, Carbonated water",1,Dinner,{'wine'},"{'juice', 'cranberry'}",0.0
8bd2de2242439295b3fef7004a39.jpeg,"Tea, hot, leaf, black, decaffeinated","Carbonated water, Cranberry juice",1,Breakfast,{'tea'},"{'juice', 'cranberry'}",0.0
2a2c02a8436dabb2d6727e78820e.jpeg,"Muffin, fruit, wheat flour, white, all-purpose, unenriched, leavening agents, baking powder, double-acting, sodium aluminum sulfate, salt, table, sugars, brown, sugars, granulated, milk, buttermilk, fluid, cultured, lowfat, butter, without salt, apricots, dried, sulfured, uncooked","Cereal (General Mills Cheerios Chocolate), Nutritional powder mix, Almond milk",1,Breakfast,"{'wheat', 'apricot', 'agent', 'muffin', 'milk', 'salt', 'flour', 'sugar', 'butter', 'buttermilk'}","{'milk', 'cereal', 'cheerio', 'almond', 'mill', 'chocolate'}",0.125
b64e177543599b14d5591e69bd7d.jpeg,"Coffee, brewed, Cream, half and half",Apple cider,2,Breakfast,"{'coffee', 'cream'}","{'cider', 'apple'}",0.0
c3464ef4499ead6633318ad57f9e.jpeg,"Doughnut, cake type, plain, wheat flours, bread, unenriched, wheat flour, white, all-purpose, unenriched, sugars, granulated, milk, fluid, 1% fat, without added vitamin a and vitamin d, salt, table, butter, without salt, water, bottled, generic, leavening agents, yeast, baker's, active dry, spartan, real semi-sweet chocolate baking chips, upc: 011213162966, nuts, almonds, sugars, powdered, cream, whipped, cream topping, pressurized, sugars, granulated","Chocolate syrup, Chocolate-flavored sprinkles, Ice cream",1,Snack,"{'cream', 'wheat', 'agent', 'baker', 'nut', 'milk', 'flour', 'salt', 'sugar', 'butter', 'chip', 'almond', 'chocolate', 'doughnut', 'yeast', 'bread', 'cake'}","{'ice', 'cream', 'syrup', 'chocolate', 'sprinkle'}",0.1818181818181818
8dc5b2bc44a5b1c9851d839aa62d.jpeg,"Flour, white, all-purpose, Yeast, Cheese, Mozzarella, whole milk, Spaghetti sauce, Peppers, green, cooked, fat not added in cooking, Onions, mature, raw, Pork sausage, Mushrooms, raw, Cheese, Parmesan, hard","Alfredo sauce, Pasta, Italian sausage, Broccoli",9,Breakfast,"{'pork', 'milk', 'onion', 'flour', 'mushroom', 'cheese', 'parmesan', 'pepper', 'spaghetti', 'mozzarella', 'sausage', 'yeast', 'green'}","{'pasta', 'sausage', 'broccoli'}",0.125
8e314791424eb26625a8638ed3b6.jpeg,"Tortilla chips, plain, Salsa, red, commercially-prepared","Tomato paste, Corn, Black, Onions, Chicken or turkey broth, Tortilla chips",2,Snack,"{'tortilla', 'salsa', 'chip'}","{'tortilla', 'onion', 'chicken', 'tomato', 'corn', 'broth', 'chip', 'turkey'}",0.36363636363636365
0107b4694ea8be0cdc0ff675de40.jpeg,"Potato, baked, peel eaten, Kale, cooked, from fresh, fat not added in cooking, Leek, cooked, NS as to fat added in cooking, Onions, cooked, from fresh, fat not added in cooking, Yogurt, Greek, whole milk, plain, Cheese, Parmesan, dry grated, Cheese, Cheddar, Salsa, red, commercially-prepared",Eggplant parmesan casserole,8,Dinner,"{'kale', 'yogurt', 'leek', 'onion', 'milk', 'cheese', 'cheddar', 'potato', 'salsa', 'parmesan'}","{'eggplant', 'parmesan'}",0.16666666666666669
559d229a4c168b9dc281b5fb64e7.jpeg,"Wine, table, red","Soy sauce, Soybean curd",1,Dinner,{'wine'},"{'soybean', 'soy'}",0.0
febdac6a49259f3b01b4907a11c6.jpeg,"Iced Coffee, brewed, Cream, half and half","Carbonated water, Cranberry juice",2,Breakfast,"{'coffee', 'cream'}","{'juice', 'cranberry'}",0.0
0d0258474903a20af0b59f165e3d.jpeg,"Yogurt, Greek, whole milk, plain, Flour, oat, Flour, whole wheat, Flour, white, all-purpose, Baking powder, Egg, whole, raw, Vanilla extract, Milk, whole, Butter, stick, salted, Maple syrup","Nutritional powder mix, Chocolate, Oatmeal, Maple syrup",10,Breakfast,"{'yogurt', 'extract', 'wheat', 'syrup', 'milk', 'flour', 'stick', 'butter', 'vanilla', 'oat', 'egg'}","{'oatmeal', 'chocolate', 'syrup'}",0.14285714285714288
d2c3a36341be909449b6d5789933.jpeg,"Cookie, NFS, butter, without salt, sugars, granulated, salt, table, wheat flour, white, all-purpose, unenriched, water, bottled, generic","Muffin, Honey, Peanut butter",1,Snack,"{'wheat', 'cookie', 'salt', 'flour', 'sugar', 'butter'}","{'honey', 'peanut', 'butter', 'muffin'}",0.2
42b0c4024ef2aea24c390344cf13.jpeg,"Tortilla, corn, Refried beans, fat added in cooking, NS as to type of fat, Cabbage, green, cooked, NS as to fat added in cooking, Cilantro, raw, Cheese, Cheddar, Salsa, NFS","Turkey or chicken sausage, Salad dressing, Tomatoes, Peppers, Mixed salad greens, Onions, Salsa verde or salsa",6,Lunch,"{'bean', 'tortilla', 'cilantro', 'cheese', 'cabbage', 'corn', 'cheddar', 'salsa', 'green'}","{'onion', 'chicken', 'tomato', 'pepper', 'green', 'salsa', 'salad', 'sausage', 'turkey'}",0.2222222222222222
538b0e7a46388dfb76fbb8ed7035.jpeg,"Bread, whole wheat, Cheese, Cheddar, Kimchi, Butter, stick, salted","Cheese, Meat loaf made with chicken or turkey, Rice, Onions, Squash",4,Snack,"{'wheat', 'stick', 'cheese', 'butter', 'kimchi', 'cheddar', 'bread'}","{'squash', 'onion', 'cheese', 'meat', 'chicken', 'rice', 'turkey'}",0.14285714285714285
78ba47674b358341fe4584ce5bae.jpeg,"Flour, white, all-purpose, Pork, ground or patty, cooked, Mushrooms, cooked, from fresh, fat not added in cooking, Onions, cooked, from fresh, fat not added in cooking, Garlic, cooked, Ginger, raw, Cabbage, green, cooked, fat not added in cooking, Soy sauce, Safflower oil, Vinegar","Burrito with chicken, Tomatoes, Lettuce",10,Dinner,"{'pork', 'soy', 'onion', 'flour', 'cabbage', 'safflower', 'oil', 'vinegar', 'ginger', 'mushroom', 'garlic', 'green'}","{'chicken', 'lettuce', 'tomato', 'burrito'}",0.0
